Year,State,Avg Temperature Index
1956,Alabama,63.6
1957,Alabama,63.949999999999996
1958,Alabama,61.21666666666667
1959,Alabama,62.958333333333336
1960,Alabama,61.541666666666664
1961,Alabama,61.93333333333333
1962,Alabama,63.050000000000004
1963,Alabama,61.73333333333334
1964,Alabama,62.4
1965,Alabama,63.01666666666666
1966,Alabama,61.666666666666664
1967,Alabama,61.916666666666664
1968,Alabama,61.008333333333326
1969,Alabama,61.366666666666674
1970,Alabama,62.11666666666667
1971,Alabama,62.69166666666667
1972,Alabama,62.96666666666667
1973,Alabama,63.06666666666667
1974,Alabama,63.11666666666667
1975,Alabama,62.824999999999996
1976,Alabama,60.675000000000004
1977,Alabama,62.45833333333332
1978,Alabama,61.866666666666674
1979,Alabama,61.35833333333333
1980,Alabama,62.48333333333334
1981,Alabama,61.99999999999999
1982,Alabama,63.341666666666676
1983,Alabama,61.20000000000001
1984,Alabama,62.824999999999996
1985,Alabama,62.80833333333334
1986,Alabama,64.09166666666665
1987,Alabama,63.050000000000004
1988,Alabama,62.083333333333336
1989,Alabama,62.19999999999999
1990,Alabama,64.925
1991,Alabama,63.974999999999994
1992,Alabama,62.11666666666665
1993,Alabama,62.33333333333332
1994,Alabama,63.06666666666667
1995,Alabama,63.04166666666668
1996,Alabama,62.12500000000001
1997,Alabama,62.36666666666667
1998,Alabama,65.12499999999999
1999,Alabama,64.15833333333333
2000,Alabama,63.574999999999996
2001,Alabama,63.04166666666666
2002,Alabama,63.583333333333336
2003,Alabama,62.75
2004,Alabama,63.33333333333332
2005,Alabama,63.39166666666665
2006,Alabama,64.19999999999999
2007,Alabama,64.41666666666667
2008,Alabama,62.92500000000001
2009,Alabama,62.916666666666664
2010,Alabama,62.708333333333336
2011,Alabama,63.84166666666666
2012,Alabama,64.91666666666667
2013,Alabama,62.60833333333333
2014,Alabama,62.041666666666664
2015,Alabama,64.64166666666667
2016,Alabama,65.26666666666667
1956,Arizona,59.541666666666664
1957,Arizona,59.541666666666664
1958,Arizona,60.39166666666666
1959,Arizona,60.208333333333336
1960,Arizona,59.58333333333334
1961,Arizona,59.26666666666667
1962,Arizona,59.84166666666666
1963,Arizona,59.791666666666664
1964,Arizona,57.76666666666666
1965,Arizona,58.48333333333334
1966,Arizona,59.508333333333326
1967,Arizona,59.025
1968,Arizona,58.650000000000006
1969,Arizona,59.70000000000001
1970,Arizona,58.975
1971,Arizona,58.224999999999994
1972,Arizona,59.65
1973,Arizona,58.4
1974,Arizona,59.49166666666667
1975,Arizona,57.89166666666666
1976,Arizona,58.96666666666666
1977,Arizona,60.21666666666667
1978,Arizona,59.81666666666666
1979,Arizona,58.816666666666656
1980,Arizona,60.23333333333333
1981,Arizona,61.324999999999996
1982,Arizona,58.741666666666674
1983,Arizona,59.20000000000001
1984,Arizona,59.44166666666667
1985,Arizona,59.55000000000001
1986,Arizona,60.57500000000001
1987,Arizona,59.32499999999999
1988,Arizona,60.225
1989,Arizona,61.225
1990,Arizona,59.73333333333333
1991,Arizona,59.25
1992,Arizona,59.59166666666666
1993,Arizona,59.80833333333334
1994,Arizona,60.55000000000001
1995,Arizona,61.00833333333335
1996,Arizona,61.875
1997,Arizona,60.53333333333334
1998,Arizona,59.275000000000006
1999,Arizona,60.78333333333334
2000,Arizona,61.675000000000004
2001,Arizona,61.20833333333334
2002,Arizona,61.175000000000004
2003,Arizona,61.9
2004,Arizona,60.416666666666664
2005,Arizona,61.15
2006,Arizona,61.12499999999999
2007,Arizona,61.59166666666666
2008,Arizona,60.633333333333326
2009,Arizona,61.083333333333336
2010,Arizona,60.39166666666667
2011,Arizona,60.34166666666666
2012,Arizona,62.10833333333332
2013,Arizona,60.45833333333332
2014,Arizona,62.25
2015,Arizona,61.75
2016,Arizona,62.225
1956,Arkansas,61.40000000000001
1957,Arkansas,60.57500000000001
1958,Arkansas,58.76666666666667
1959,Arkansas,60.008333333333326
1960,Arkansas,58.883333333333326
1961,Arkansas,59.133333333333326
1962,Arkansas,60.30833333333333
1963,Arkansas,60.34166666666666
1964,Arkansas,60.67500000000001
1965,Arkansas,61.025
1966,Arkansas,59.17499999999999
1967,Arkansas,59.88333333333333
1968,Arkansas,58.666666666666664
1969,Arkansas,59.51666666666667
1970,Arkansas,59.73333333333333
1971,Arkansas,60.458333333333336
1972,Arkansas,60.03333333333333
1973,Arkansas,60.583333333333336
1974,Arkansas,60.26666666666668
1975,Arkansas,59.9
1976,Arkansas,58.76666666666667
1977,Arkansas,60.76666666666666
1978,Arkansas,58.900000000000006
1979,Arkansas,57.99166666666667
1980,Arkansas,60.49999999999999
1981,Arkansas,60.24166666666667
1982,Arkansas,59.96666666666666
1983,Arkansas,58.86666666666667
1984,Arkansas,60.05000000000002
1985,Arkansas,59.841666666666676
1986,Arkansas,61.525000000000006
1987,Arkansas,61.05833333333333
1988,Arkansas,59.75
1989,Arkansas,58.975000000000016
1990,Arkansas,61.850000000000016
1991,Arkansas,61.30833333333334
1992,Arkansas,59.89166666666668
1993,Arkansas,59.32500000000001
1994,Arkansas,60.40833333333333
1995,Arkansas,60.48333333333334
1996,Arkansas,59.56666666666667
1997,Arkansas,59.666666666666664
1998,Arkansas,63.1
1999,Arkansas,62.16666666666666
2000,Arkansas,60.89166666666666
2001,Arkansas,61.225
2002,Arkansas,60.58333333333334
2003,Arkansas,60.26666666666666
2004,Arkansas,61.03333333333333
2005,Arkansas,61.96666666666667
2006,Arkansas,61.991666666666674
2007,Arkansas,61.80833333333334
2008,Arkansas,59.85833333333333
2009,Arkansas,59.93333333333334
2010,Arkansas,61.17499999999999
2011,Arkansas,61.82499999999999
2012,Arkansas,63.616666666666674
2013,Arkansas,59.64166666666666
2014,Arkansas,58.66666666666666
2015,Arkansas,61.4
2016,Arkansas,62.74166666666667
1956,California,56.97499999999999
1957,California,57.09166666666667
1958,California,58.88333333333333
1959,California,58.95000000000001
1960,California,58.04999999999999
1961,California,57.81666666666667
1962,California,57.38333333333333
1963,California,57.08333333333334
1964,California,56.56666666666666
1965,California,56.725000000000016
1966,California,58.00833333333333
1967,California,57.5
1968,California,57.6
1969,California,57.5
1970,California,57.82500000000001
1971,California,56.208333333333336
1972,California,57.25833333333333
1973,California,57.29999999999999
1974,California,57.62499999999999
1975,California,56.275
1976,California,57.46666666666667
1977,California,57.98333333333332
1978,California,57.616666666666674
1979,California,57.675000000000004
1980,California,58.07500000000001
1981,California,59.300000000000004
1982,California,56.333333333333336
1983,California,57.558333333333344
1984,California,58.21666666666667
1985,California,57.333333333333336
1986,California,58.88333333333335
1987,California,58.28333333333333
1988,California,58.75
1989,California,58.11666666666665
1990,California,57.96666666666667
1991,California,58.14166666666667
1992,California,59.28333333333333
1993,California,57.658333333333324
1994,California,58.00833333333333
1995,California,58.94166666666666
1996,California,59.56666666666667
1997,California,59.133333333333326
1998,California,56.71666666666667
1999,California,57.958333333333336
2000,California,58.79999999999999
2001,California,59.11666666666667
2002,California,58.849999999999994
2003,California,59.43333333333333
2004,California,58.85833333333335
2005,California,58.60833333333334
2006,California,58.64166666666666
2007,California,58.93333333333334
2008,California,58.91666666666666
2009,California,58.84166666666666
2010,California,57.724999999999994
2011,California,57.449999999999996
2012,California,59.50833333333333
2013,California,59.31666666666666
2014,California,61.449999999999996
2015,California,60.75
2016,California,60.15833333333333
1956,Colorado,45.09166666666667
1957,Colorado,44.11666666666667
1958,Colorado,45.50833333333333
1959,Colorado,44.775
1960,Colorado,44.21666666666667
1961,Colorado,43.85833333333334
1962,Colorado,45.06666666666667
1963,Colorado,46.18333333333334
1964,Colorado,43.59166666666666
1965,Colorado,44.18333333333334
1966,Colorado,44.62500000000001
1967,Colorado,44.76666666666666
1968,Colorado,43.633333333333326
1969,Colorado,44.68333333333334
1970,Colorado,44.300000000000004
1971,Colorado,44.06666666666667
1972,Colorado,44.6
1973,Colorado,43.375
1974,Colorado,44.416666666666664
1975,Colorado,43.50833333333333
1976,Colorado,44.69999999999999
1977,Colorado,46.291666666666664
1978,Colorado,44.541666666666664
1979,Colorado,43.5
1980,Colorado,45.599999999999994
1981,Colorado,47.06666666666667
1982,Colorado,44.09166666666667
1983,Colorado,44.40833333333333
1984,Colorado,43.69166666666666
1985,Colorado,44.13333333333333
1986,Colorado,46.32499999999999
1987,Colorado,45.25833333333333
1988,Colorado,45.10833333333333
1989,Colorado,45.39166666666667
1990,Colorado,45.599999999999994
1991,Colorado,45.04166666666666
1992,Colorado,45.275000000000006
1993,Colorado,43.833333333333336
1994,Colorado,46.51666666666667
1995,Colorado,45.699999999999996
1996,Colorado,45.775
1997,Colorado,44.84166666666667
1998,Colorado,46.25
1999,Colorado,46.64166666666666
2000,Colorado,47.00833333333333
2001,Colorado,46.86666666666667
2002,Colorado,46.083333333333336
2003,Colorado,47.04166666666668
2004,Colorado,45.85833333333333
2005,Colorado,46.775000000000006
2006,Colorado,46.508333333333326
2007,Colorado,46.19166666666666
2008,Colorado,44.94166666666666
2009,Colorado,45.18333333333333
2010,Colorado,46.15833333333333
2011,Colorado,45.43333333333334
2012,Colorado,48.31666666666666
2013,Colorado,45.09166666666667
2014,Colorado,46.074999999999996
2015,Colorado,47.43333333333333
2016,Colorado,47.291666666666664
1956,Connecticut,47.61666666666667
1957,Connecticut,49.21666666666666
1958,Connecticut,46.625
1959,Connecticut,49.21666666666667
1960,Connecticut,47.98333333333334
1961,Connecticut,48.291666666666664
1962,Connecticut,46.75000000000001
1963,Connecticut,47.199999999999996
1964,Connecticut,48.0
1965,Connecticut,47.53333333333333
1966,Connecticut,47.949999999999996
1967,Connecticut,47.13333333333333
1968,Connecticut,47.75
1969,Connecticut,47.958333333333336
1970,Connecticut,47.75
1971,Connecticut,48.26666666666666
1972,Connecticut,47.300000000000004
1973,Connecticut,50.04999999999999
1974,Connecticut,48.23333333333334
1975,Connecticut,49.05833333333333
1976,Connecticut,47.59166666666666
1977,Connecticut,48.19166666666667
1978,Connecticut,46.73333333333333
1979,Connecticut,48.833333333333336
1980,Connecticut,47.941666666666656
1981,Connecticut,48.40833333333334
1982,Connecticut,47.95000000000001
1983,Connecticut,49.41666666666668
1984,Connecticut,48.95000000000001
1985,Connecticut,48.66666666666666
1986,Connecticut,48.49999999999999
1987,Connecticut,48.82500000000001
1988,Connecticut,48.324999999999996
1989,Connecticut,47.94166666666666
1990,Connecticut,51.06666666666666
1991,Connecticut,50.958333333333336
1992,Connecticut,47.68333333333333
1993,Connecticut,48.650000000000006
1994,Connecticut,48.86666666666667
1995,Connecticut,49.041666666666664
1996,Connecticut,48.375
1997,Connecticut,48.65833333333334
1998,Connecticut,51.59166666666667
1999,Connecticut,50.849999999999994
2000,Connecticut,48.53333333333333
2001,Connecticut,50.24166666666667
2002,Connecticut,50.46666666666666
2003,Connecticut,48.166666666666664
2004,Connecticut,48.76666666666666
2005,Connecticut,49.50833333333333
2006,Connecticut,51.13333333333333
2007,Connecticut,49.53333333333333
2008,Connecticut,49.708333333333336
2009,Connecticut,48.84166666666667
2010,Connecticut,51.35
2011,Connecticut,50.85833333333333
2012,Connecticut,52.46666666666666
2013,Connecticut,49.791666666666664
2014,Connecticut,48.68333333333334
2015,Connecticut,49.84166666666667
2016,Connecticut,51.62499999999999
1956,Delaware,54.30833333333334
1957,Delaware,55.14166666666667
1958,Delaware,52.43333333333333
1959,Delaware,55.74166666666667
1960,Delaware,53.466666666666676
1961,Delaware,53.958333333333336
1962,Delaware,52.875
1963,Delaware,53.01666666666667
1964,Delaware,54.183333333333316
1965,Delaware,53.649999999999984
1966,Delaware,53.34166666666666
1967,Delaware,52.61666666666667
1968,Delaware,53.916666666666664
1969,Delaware,53.4
1970,Delaware,53.958333333333336
1971,Delaware,54.55000000000001
1972,Delaware,53.574999999999996
1973,Delaware,55.625
1974,Delaware,54.65833333333333
1975,Delaware,55.21666666666667
1976,Delaware,53.775
1977,Delaware,54.62500000000001
1978,Delaware,52.90833333333333
1979,Delaware,53.775000000000006
1980,Delaware,54.08333333333332
1981,Delaware,53.59166666666667
1982,Delaware,53.98333333333333
1983,Delaware,54.90833333333333
1984,Delaware,54.69166666666666
1985,Delaware,55.35833333333333
1986,Delaware,55.09166666666666
1987,Delaware,54.900000000000006
1988,Delaware,54.10833333333333
1989,Delaware,54.19166666666666
1990,Delaware,57.19166666666667
1991,Delaware,56.94166666666666
1992,Delaware,53.90833333333333
1993,Delaware,54.84166666666667
1994,Delaware,55.025
1995,Delaware,55.11666666666667
1996,Delaware,54.025
1997,Delaware,54.84166666666667
1998,Delaware,57.40833333333333
1999,Delaware,56.508333333333326
2000,Delaware,54.741666666666674
2001,Delaware,56.1
2002,Delaware,57.15
2003,Delaware,54.583333333333336
2004,Delaware,55.833333333333336
2005,Delaware,55.724999999999994
2006,Delaware,57.33333333333332
2007,Delaware,56.28333333333334
2008,Delaware,56.32500000000001
2009,Delaware,55.42500000000001
2010,Delaware,56.666666666666664
2011,Delaware,57.425000000000004
2012,Delaware,58.46666666666667
2013,Delaware,55.82500000000001
2014,Delaware,54.71666666666667
2015,Delaware,56.425000000000004
2016,Delaware,57.224999999999994
1956,Florida,69.94166666666668
1957,Florida,70.99166666666666
1958,Florida,68.98333333333332
1959,Florida,70.61666666666667
1960,Florida,69.31666666666666
1961,Florida,70.00833333333334
1962,Florida,69.85000000000001
1963,Florida,69.21666666666667
1964,Florida,70.05
1965,Florida,70.20833333333333
1966,Florida,69.01666666666667
1967,Florida,70.225
1968,Florida,68.60833333333333
1969,Florida,69.00000000000001
1970,Florida,69.44166666666666
1971,Florida,70.425
1972,Florida,70.96666666666667
1973,Florida,70.25833333333334
1974,Florida,70.87499999999999
1975,Florida,71.20833333333333
1976,Florida,68.97500000000001
1977,Florida,69.44166666666666
1978,Florida,69.75000000000001
1979,Florida,69.875
1980,Florida,69.94166666666666
1981,Florida,69.26666666666667
1982,Florida,71.525
1983,Florida,69.26666666666667
1984,Florida,69.97500000000001
1985,Florida,70.83333333333333
1986,Florida,71.46666666666668
1987,Florida,70.18333333333334
1988,Florida,69.71666666666665
1989,Florida,70.95833333333334
1990,Florida,72.49166666666666
1991,Florida,71.78333333333335
1992,Florida,70.28333333333335
1993,Florida,70.30000000000001
1994,Florida,71.55
1995,Florida,70.80833333333332
1996,Florida,69.89999999999999
1997,Florida,71.14166666666667
1998,Florida,72.50833333333334
1999,Florida,71.16666666666667
2000,Florida,70.58333333333333
2001,Florida,70.94166666666668
2002,Florida,71.30833333333334
2003,Florida,70.88333333333334
2004,Florida,70.825
2005,Florida,70.84166666666665
2006,Florida,71.36666666666666
2007,Florida,71.75
2008,Florida,70.825
2009,Florida,71.16666666666666
2010,Florida,69.19166666666666
2011,Florida,71.68333333333334
2012,Florida,71.89166666666667
2013,Florida,71.69166666666668
2014,Florida,70.64166666666668
2015,Florida,73.35833333333333
2016,Florida,72.50833333333334
1956,Georgia,63.78333333333334
1957,Georgia,64.1
1958,Georgia,61.841666666666676
1959,Georgia,63.525
1960,Georgia,62.01666666666666
1961,Georgia,62.59166666666667
1962,Georgia,63.09166666666666
1963,Georgia,61.88333333333333
1964,Georgia,62.56666666666666
1965,Georgia,63.149999999999984
1966,Georgia,61.725
1967,Georgia,62.43333333333334
1968,Georgia,61.625
1969,Georgia,61.70000000000001
1970,Georgia,62.833333333333336
1971,Georgia,63.324999999999996
1972,Georgia,63.46666666666667
1973,Georgia,63.45000000000001
1974,Georgia,63.833333333333336
1975,Georgia,63.725000000000016
1976,Georgia,61.475000000000016
1977,Georgia,62.84999999999999
1978,Georgia,62.60833333333332
1979,Georgia,62.26666666666667
1980,Georgia,63.03333333333334
1981,Georgia,62.349999999999994
1982,Georgia,63.93333333333333
1983,Georgia,61.925000000000004
1984,Georgia,63.324999999999996
1985,Georgia,63.75833333333333
1986,Georgia,65.04166666666667
1987,Georgia,63.275000000000006
1988,Georgia,62.4
1989,Georgia,63.225
1990,Georgia,65.65833333333333
1991,Georgia,64.55
1992,Georgia,62.74166666666665
1993,Georgia,63.241666666666674
1994,Georgia,63.63333333333333
1995,Georgia,63.49166666666665
1996,Georgia,62.650000000000006
1997,Georgia,63.21666666666666
1998,Georgia,65.69166666666666
1999,Georgia,64.49166666666666
2000,Georgia,63.35833333333334
2001,Georgia,63.94166666666667
2002,Georgia,64.35833333333333
2003,Georgia,63.316666666666656
2004,Georgia,63.975
2005,Georgia,63.79166666666666
2006,Georgia,64.55
2007,Georgia,64.8
2008,Georgia,63.51666666666667
2009,Georgia,63.41666666666668
2010,Georgia,62.95833333333332
2011,Georgia,64.65
2012,Georgia,65.5
2013,Georgia,63.400000000000006
2014,Georgia,62.96666666666667
2015,Georgia,65.31666666666666
2016,Georgia,65.84166666666667
1956,Idaho,42.00833333333333
1957,Idaho,42.06666666666667
1958,Idaho,44.48333333333333
1959,Idaho,42.63333333333333
1960,Idaho,42.275
1961,Idaho,43.583333333333336
1962,Idaho,42.43333333333333
1963,Idaho,43.49166666666667
1964,Idaho,40.6
1965,Idaho,42.47500000000001
1966,Idaho,43.475
1967,Idaho,43.59166666666666
1968,Idaho,42.30833333333334
1969,Idaho,42.75833333333333
1970,Idaho,42.48333333333333
1971,Idaho,41.708333333333336
1972,Idaho,42.13333333333333
1973,Idaho,42.78333333333333
1974,Idaho,43.041666666666664
1975,Idaho,41.166666666666664
1976,Idaho,42.15
1977,Idaho,42.99166666666667
1978,Idaho,42.38333333333333
1979,Idaho,42.36666666666667
1980,Idaho,43.25833333333333
1981,Idaho,44.34166666666667
1982,Idaho,41.05833333333333
1983,Idaho,42.883333333333326
1984,Idaho,40.76666666666667
1985,Idaho,39.67499999999999
1986,Idaho,44.07499999999999
1987,Idaho,44.50833333333333
1988,Idaho,44.175000000000004
1989,Idaho,42.75
1990,Idaho,43.458333333333336
1991,Idaho,43.275
1992,Idaho,44.98333333333333
1993,Idaho,40.925000000000004
1994,Idaho,44.324999999999996
1995,Idaho,43.65833333333334
1996,Idaho,43.166666666666664
1997,Idaho,43.23333333333333
1998,Idaho,44.324999999999996
1999,Idaho,43.59166666666667
2000,Idaho,43.93333333333334
2001,Idaho,44.25833333333333
2002,Idaho,42.96666666666667
2003,Idaho,45.375
2004,Idaho,44.15
2005,Idaho,43.583333333333336
2006,Idaho,44.18333333333334
2007,Idaho,44.78333333333333
2008,Idaho,42.525000000000006
2009,Idaho,42.81666666666667
2010,Idaho,43.333333333333336
2011,Idaho,42.38333333333333
2012,Idaho,45.099999999999994
2013,Idaho,43.708333333333336
2014,Idaho,45.1
2015,Idaho,46.375
2016,Idaho,45.150000000000006
1956,Illinois,52.650000000000006
1957,Illinois,51.84166666666666
1958,Illinois,50.06666666666667
1959,Illinois,51.89166666666666
1960,Illinois,50.324999999999996
1961,Illinois,51.11666666666667
1962,Illinois,50.908333333333324
1963,Illinois,50.68333333333333
1964,Illinois,52.491666666666674
1965,Illinois,51.949999999999996
1966,Illinois,50.57500000000001
1967,Illinois,50.55833333333333
1968,Illinois,51.14166666666667
1969,Illinois,50.408333333333324
1970,Illinois,51.21666666666667
1971,Illinois,52.225
1972,Illinois,50.32500000000001
1973,Illinois,53.04999999999999
1974,Illinois,51.61666666666667
1975,Illinois,51.99166666666667
1976,Illinois,50.37499999999999
1977,Illinois,51.50833333333333
1978,Illinois,49.574999999999996
1979,Illinois,49.37499999999999
1980,Illinois,51.30833333333334
1981,Illinois,51.75
1982,Illinois,50.68333333333333
1983,Illinois,51.99999999999999
1984,Illinois,51.81666666666666
1985,Illinois,50.650000000000006
1986,Illinois,52.83333333333332
1987,Illinois,54.091666666666676
1988,Illinois,52.11666666666667
1989,Illinois,50.400000000000006
1990,Illinois,53.55833333333333
1991,Illinois,53.74166666666667
1992,Illinois,51.89166666666668
1993,Illinois,50.88333333333333
1994,Illinois,52.00000000000001
1995,Illinois,51.60833333333334
1996,Illinois,50.125
1997,Illinois,50.96666666666667
1998,Illinois,55.216666666666676
1999,Illinois,53.541666666666664
2000,Illinois,52.20000000000001
2001,Illinois,53.39166666666666
2002,Illinois,53.241666666666674
2003,Illinois,51.71666666666666
2004,Illinois,52.583333333333336
2005,Illinois,53.69166666666667
2006,Illinois,53.99999999999999
2007,Illinois,53.683333333333344
2008,Illinois,50.925000000000004
2009,Illinois,51.425000000000004
2010,Illinois,52.89166666666667
2011,Illinois,53.15
2012,Illinois,55.775
2013,Illinois,51.083333333333336
2014,Illinois,49.49166666666667
2015,Illinois,52.89166666666667
2016,Illinois,54.724999999999994
1956,Indiana,52.125
1957,Indiana,51.616666666666674
1958,Indiana,49.449999999999996
1959,Indiana,51.99166666666665
1960,Indiana,50.06666666666666
1961,Indiana,50.824999999999996
1962,Indiana,50.51666666666667
1963,Indiana,49.64166666666666
1964,Indiana,51.94999999999999
1965,Indiana,51.56666666666666
1966,Indiana,50.15833333333333
1967,Indiana,50.28333333333334
1968,Indiana,50.71666666666667
1969,Indiana,50.14166666666666
1970,Indiana,50.98333333333333
1971,Indiana,51.574999999999996
1972,Indiana,50.224999999999994
1973,Indiana,52.916666666666664
1974,Indiana,51.29166666666668
1975,Indiana,52.0
1976,Indiana,49.96666666666667
1977,Indiana,51.041666666666664
1978,Indiana,49.050000000000004
1979,Indiana,49.24999999999999
1980,Indiana,50.54166666666666
1981,Indiana,50.80833333333334
1982,Indiana,50.71666666666666
1983,Indiana,51.81666666666666
1984,Indiana,51.275
1985,Indiana,51.025000000000006
1986,Indiana,52.400000000000006
1987,Indiana,53.224999999999994
1988,Indiana,51.291666666666664
1989,Indiana,50.18333333333334
1990,Indiana,53.291666666666664
1991,Indiana,53.71666666666667
1992,Indiana,51.28333333333333
1993,Indiana,50.775
1994,Indiana,51.5
1995,Indiana,51.49999999999999
1996,Indiana,50.05833333333334
1997,Indiana,50.5
1998,Indiana,54.94999999999999
1999,Indiana,53.23333333333333
2000,Indiana,51.574999999999996
2001,Indiana,53.166666666666664
2002,Indiana,53.116666666666674
2003,Indiana,51.074999999999996
2004,Indiana,52.21666666666666
2005,Indiana,52.85833333333334
2006,Indiana,53.425000000000004
2007,Indiana,53.30833333333334
2008,Indiana,51.04166666666668
2009,Indiana,51.29166666666666
2010,Indiana,52.60833333333332
2011,Indiana,53.06666666666666
2012,Indiana,55.14166666666668
2013,Indiana,51.208333333333336
2014,Indiana,49.40833333333333
2015,Indiana,52.30833333333334
2016,Indiana,54.258333333333326
1956,Iowa,48.10833333333333
1957,Iowa,47.54166666666666
1958,Iowa,46.85833333333333
1959,Iowa,46.89166666666666
1960,Iowa,46.1
1961,Iowa,46.69166666666667
1962,Iowa,46.475
1963,Iowa,47.69166666666666
1964,Iowa,48.525000000000006
1965,Iowa,46.73333333333333
1966,Iowa,46.383333333333326
1967,Iowa,46.633333333333326
1968,Iowa,47.62500000000001
1969,Iowa,46.050000000000004
1970,Iowa,46.92499999999999
1971,Iowa,47.43333333333334
1972,Iowa,45.508333333333326
